Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	interval_spec
ENSG00000139618.19	13	32315086	32400268	BRCA2	chr13:32315086-32400268
ENSG00000142192.22	21	25880535	26171128	APP	chr21:25880535-26171128
ENSG00000160014.17	19	46601074	46610782	CALM3	chr19:46601074-46610782
ENSG00000138376.11	2	214725646	214809683	BARD1	chr2:214725646-214809683
ENSG00000110799.14	12	5948877	6124770	VWF	chr12:5948877-6124770
ENSG00000106633.18	7	44143213	44198170	GCK	chr7:44143213-44198170
ENSG00000198668.14	14	90396502	90408268	CALM1	chr14:90396502-90408268
ENSG00000163930.10	3	52401008	52410008	BAP1	chr3:52401008-52410008
ENSG00000136492.10	17	61679139	61863559	BRIP1	chr17:61679139-61863559
ENSG00000145335.17	4	89700345	89838315	SNCA	chr4:89700345-89838315
ENSG00000036473.9	X	38327598	38422908	OTC	chrX:38327598-38422908
ENSG00000171862.16	10	87862638	87971930	PTEN	chr10:87862638-87971930
ENSG00000108384.16	17	58692573	58735611	RAD51C	chr17:58692573-58735611
ENSG00000055118.18	7	150944961	150978321	KCNH2	chr7:150944961-150978321
ENSG00000185345.25	6	161347417	162727775	PRKN	chr6:161347417-162727775
ENSG00000083093.12	16	23603160	23641321	PALB2	chr16:23603160-23641321
ENSG00000185379.21	17	35092221	35121522	RAD51D	chr17:35092221-35121522
ENSG00000141510.19	17	7661779	7687546	TP53	chr17:7661779-7687546
ENSG00000143933.20	2	47160084	47176921	CALM2	chr2:47160084-47176921
ENSG00000012048.26	17	43044295	43170245	BRCA1	chr17:43044295-43170245
ENSG00000117013.17	1	40783787	40840452	KCNQ4	chr1:40783787-40840452
ENSG00000095002.16	2	47403067	47663146	MSH2	chr2:47403067-47663146
ENSG00000183873.20	3	38548057	38649743	SCN5A	chr3:38548057-38649743
ENSG00000120948.19	1	11012344	11030528	TARDBP	chr1:11012344-11030528
